Accion,Fecha,Precio
TS,2014-07-24,45.24
TS,2014-07-23,45.1
TS,2014-07-22,45.36
TS,2014-07-21,44.6
TS,2014-07-18,45.11
TS,2014-07-17,44.6
TS,2014-07-16,45.5
TS,2014-07-15,45.1
TS,2014-07-14,45.49
TS,2014-07-11,47.75
TS,2014-07-10,46.55
TS,2014-07-09,46.93
TS,2014-07-08,47.21
TS,2014-07-07,47.83
TS,2014-07-03,47.77
TS,2014-07-02,47.16
TS,2014-07-01,46.9
TS,2014-06-30,47.15
TS,2014-06-27,46.95
TS,2014-06-26,46.69
TS,2014-06-25,46.49
TS,2014-06-24,46.44
TS,2014-06-23,46.58
TS,2014-06-20,46.31
TS,2014-06-19,46.83
TS,2014-06-18,46.64
TS,2014-06-17,46.3
TS,2014-06-16,45.84
TS,2014-06-13,45.96
TS,2014-06-12,45.79
TS,2014-06-11,45.86
TS,2014-06-10,45.29
TS,2014-06-09,46.88
TS,2014-06-06,46.49
TS,2014-06-05,45.37
TS,2014-06-04,44.89
TS,2014-06-03,45.07
TS,2014-06-02,44.7
TS,2014-05-30,44.85
TS,2014-05-29,44.65
TS,2014-05-28,44.17
TS,2014-05-27,44.45
TS,2014-05-23,43.86
TS,2014-05-22,43.11
TS,2014-05-21,43.05
TS,2014-05-20,42.55
TS,2014-05-19,42.9
TS,2014-05-16,43.1
TS,2014-05-15,42.85
TS,2014-05-14,43.77
TS,2014-05-13,44.07
TS,2014-05-12,44.52
TS,2014-05-09,44.29
TS,2014-05-08,44.98
TS,2014-05-07,45.23
TS,2014-05-06,44.49
TS,2014-05-05,44.28
TS,2014-05-02,44.53
TS,2014-05-01,43.83
TS,2014-04-30,44.05
TS,2014-04-29,45.42
TS,2014-04-28,45.21
TS,2014-04-25,44.97
TS,2014-04-24,44.94
TS,2014-04-23,44.93
TS,2014-04-22,44.91
TS,2014-04-21,44.64
TS,2014-04-17,44.59
TS,2014-04-16,44.59
TS,2014-04-15,44.49
TS,2014-04-14,44.75
TS,2014-04-11,44.13
TS,2014-04-10,44.21
TS,2014-04-09,44.83
TS,2014-04-08,44.67
TS,2014-04-07,44.29
TS,2014-04-04,44.55
TS,2014-04-03,44.29
TS,2014-04-02,44.24
TS,2014-04-01,44.6
